index,Name,# Features,# Categorical Features,# Instances,# Classes,# NaNs,Minority Class Size,id,roc,pred_time,cross_entropy,accuracy
140,chscase_census3,8,1,400,2,0,192,908,0.4653361344537815,0.04164528846740723,0.7033690986037254,0.49
141,chscase_census2,8,1,400,2,0,197,909,0.5076507650765076,0.035613059997558594,0.6934493204951286,0.505
142,chscase_census6,7,1,400,2,0,165,900,0.4706919804959021,0.0368802547454834,0.6754541900753975,0.595
143,analcatdata_germangss,6,5,400,4,0,100,475,0.741838545125625,0.06678152084350586,1.1476438852958382,0.385
145,autoMpg,8,4,398,2,6,189,831,0.980952380952381,0.06466126441955566,0.20785550944530962,0.914572864321608
146,vinnie,3,1,380,2,0,185,860,0.9285714285714285,0.052457332611083984,0.34118018232800656,0.8315789473684211
147,jEdit_4.2_4.3,9,1,369,2,0,165,1048,0.689922480620155,0.04011869430541992,0.6669444921099253,0.6
149,analcatdata_draft,5,3,366,2,1,32,984,0.5932659932659933,0.09088277816772461,0.3486180082981378,0.9016393442622951
150,analcatdata_birthday,4,3,365,2,30,53,968,0.9321278825995807,0.06466031074523926,0.21939896472221102,0.8797814207650273
151,ionosphere,35,1,351,2,0,126,59,0.9826149425287357,0.16056513786315918,0.15367704083658137,0.9602272727272727
152,SPECTF,45,1,349,2,0,95,337,0.9142944597490051,0.04829239845275879,0.33892487303121016,0.8057142857142857
153,penguins,7,3,344,3,18,68,42585,0.9998423660962361,0.03442573547363281,0.02376343200371221,0.9883720930232558
154,CastMetal1,38,1,327,2,0,42,1447,0.711686709836571,0.04788565635681152,0.45254998340874963,0.8597560975609756
155,visualizing_galaxy,5,1,323,2,0,148,925,0.9954438334642577,0.07560038566589355,0.11091201124980127,0.9320987654320988
156,plasma_retinol,14,4,315,2,0,133,915,0.5453777251985804,0.05325794219970703,0.674585000246386,0.6139240506329114
157,solar-flare,13,13,315,5,0,21,40686,0.9154240934635265,0.09622955322265625,0.520797841033238,0.7721518987341772
158,diggle_table_a2,9,1,310,9,0,18,694,1.0,0.04899120330810547,0.004130579684709618,1.0
159,vertebra-column,7,1,310,3,0,60,1523,0.9507253968253968,0.04027271270751953,0.3758858037271796,0.8387096774193549
160,haberman,4,2,306,2,0,81,43,0.6574074074074074,0.05893206596374512,0.5676424832758951,0.7581699346405228
161,heart-c,14,8,303,2,7,138,49,0.8817829457364342,0.04805779457092285,0.4776803467971867,0.8026315789473685
162,cleveland,14,8,303,2,6,139,786,0.9214049730481656,0.05386543273925781,0.3581514580345308,0.868421052631579
163,cholesterol,14,8,303,2,6,137,798,0.6412891986062718,0.05323481559753418,0.6731181999570445,0.5657894736842105
164,cleve,14,9,303,2,0,138,40710,0.91008316008316,0.1106719970703125,0.3906950298872911,0.8223684210526315
